timestamp,flux
2008-12-06 13:31:41,2.607142857
2008-12-07 12:48:22,2.245535714
2008-12-06 13:31:41,2.004464286
2008-12-12 20:50:04,2.6875
2008-12-11 21:33:23,2.205357143
2008-12-16 17:56:45,2.446428571
2008-12-20 15:03:27,2.727678571
2008-12-19 15:46:46,2.084821429
2008-12-21 02:41:47,2.205357143
2008-12-29 08:33:30,2.647321429
2008-12-28 09:16:49,2.325892857
2009-01-06 14:25:13,2.526785714
2009-01-07 13:41:53,2.165178571
2009-01-18 05:45:17,2.6875
2009-01-15 07:55:16,2.245535714
2009-01-15 07:55:16,2.245535714
2009-01-27 22:32:01,2.044642857
2009-02-01 07:17:02,2.848214286
2009-01-21 15:13:38,2.366071429
2009-01-28 10:10:21,2.6875
2009-02-08 02:13:45,2.125
2009-02-18 18:17:09,2.044642857
2009-02-23 03:02:10,2.96875
2009-02-12 22:37:06,2.647321429
2009-02-23 14:40:30,2.486607143
2009-03-07 06:00:35,2.888392857
2009-02-28 11:03:52,2.125
2009-03-19 20:37:19,3.008928571
2009-03-11 14:45:36,2.084821429
2009-04-01 22:52:24,2.928571429
2009-03-29 13:24:03,2.245535714
2009-03-18 09:42:19,2.245535714
2009-03-26 15:34:02,2.727678571
2009-03-19 20:37:19,2.647321429
2009-03-19 20:37:19,2.647321429
2009-03-05 07:27:14,2.446428571
2009-03-05 07:27:14,2.205357143
2009-03-13 13:18:57,2.888392857
2009-04-16 00:24:09,2.205357143
2009-04-03 21:25:45,2.325892857
2009-04-10 16:22:27,2.6875
2009-04-27 15:44:13,2.245535714
2009-05-09 18:42:38,2.446428571
2009-04-22 07:42:31,2.928571429
2009-05-18 23:51:01,2.446428571
2009-05-23 20:14:23,2.96875
2009-05-29 15:54:25,3.209821429
2009-05-31 14:27:46,2.647321429
2009-06-10 18:52:49,2.526785714
2009-06-16 14:32:52,3.129464286
2009-06-20 00:01:13,2.526785714
2009-06-29 05:09:36,2.647321429
2009-07-07 11:01:19,3.129464286
2009-07-08 10:18:00,2.647321429
2009-07-17 03:48:03,3.209821429
2009-07-18 03:04:43,2.6875
2009-07-27 19:51:27,3.370535714
2009-07-25 21:18:06,2.566964286
2009-08-04 14:04:49,3.169642857
2009-08-10 21:23:12,3.25
2009-08-16 05:24:54,3.129464286
2009-08-21 01:48:15,3.25
2009-08-24 11:16:37,3.290178571
2009-08-22 12:43:16,2.928571429
2009-08-14 18:29:53,2.6875
2009-08-08 22:49:51,2.6875
2009-08-02 15:31:29,2.566964286
2009-07-13 06:41:21,2.40625
2009-06-24 08:46:14,3.129464286
2009-06-24 20:24:35,2.325892857
2009-06-05 22:29:28,3.209821429
2009-06-01 02:06:06,2.40625
2009-04-30 01:55:54,2.96875
2009-05-16 02:01:00,3.25
2009-04-30 13:34:14,2.285714286
2009-03-22 06:49:00,5.017857143
2009-03-22 06:49:00,5.580357143
2009-03-22 18:27:20,7.388392857
2009-03-22 18:27:20,8.232142857
2009-03-23 17:44:01,8.794642857
2009-02-16 19:43:48,3.892857143
2009-02-06 03:40:24,1.683035714
2009-01-30 08:43:41,1.763392857
2009-02-05 04:23:44,2.6875
2009-02-03 17:28:43,2.366071429
2009-04-22 07:42:31,2.285714286
