Energy,proton
1.00E-02,2.51E-03
1.41E-02,3.98E-03
1.98E-02,6.28E-03
2.78E-02,9.79E-03
3.88E-02,1.51E-02
5.33E-02,2.27E-02
7.20E-02,3.32E-02
9.50E-02,4.70E-02
1.22E-01,6.42E-02
1.54E-01,8.49E-02
1.89E-01,1.09E-01
2.28E-01,1.37E-01
2.71E-01,1.69E-01
3.20E-01,2.05E-01
3.74E-01,2.46E-01
4.34E-01,2.93E-01
5.01E-01,3.47E-01
5.75E-01,4.08E-01
6.59E-01,4.77E-01
7.54E-01,5.56E-01
8.60E-01,6.46E-01
9.79E-01,7.48E-01
1.11E+00,8.64E-01
1.26E+00,9.97E-01
1.43E+00,1.15E+00
1.62E+00,1.32E+00
1.83E+00,1.51E+00
2.07E+00,1.73E+00
2.34E+00,1.98E+00
2.64E+00,2.26E+00
2.98E+00,2.59E+00
3.35E+00,2.95E+00
3.78E+00,3.37E+00
4.26E+00,3.83E+00
4.79E+00,4.37E+00
5.39E+00,4.97E+00
6.06E+00,5.65E+00
6.81E+00,6.43E+00
7.65E+00,7.31E+00
8.59E+00,8.31E+00
9.65E+00,9.45E+00
1.08E+01,1.07E+01
1.22E+01,1.22E+01
1.36E+01,1.39E+01
1.53E+01,1.58E+01
1.72E+01,1.79E+01
1.92E+01,2.04E+01
2.16E+01,2.32E+01
2.42E+01,2.64E+01
2.71E+01,3.00E+01
3.04E+01,3.41E+01
3.40E+01,3.88E+01
3.82E+01,4.40E+01
4.28E+01,4.99E+01
4.79E+01,5.65E+01
5.37E+01,6.39E+01
6.02E+01,7.20E+01
6.76E+01,8.09E+01
7.58E+01,9.05E+01
8.50E+01,1.01E+02
9.54E+01,1.12E+02
1.07E+02,1.23E+02
1.20E+02,1.35E+02
1.35E+02,1.46E+02
1.52E+02,1.57E+02
1.71E+02,1.68E+02
1.93E+02,1.77E+02
2.18E+02,1.85E+02
2.46E+02,1.92E+02
2.78E+02,1.96E+02
3.15E+02,1.98E+02
3.57E+02,1.97E+02
4.05E+02,1.93E+02
4.62E+02,1.87E+02
5.27E+02,1.78E+02
6.02E+02,1.67E+02
6.91E+02,1.54E+02
7.96E+02,1.40E+02
9.19E+02,1.24E+02
1.07E+03,1.08E+02
1.25E+03,9.17E+01
1.45E+03,7.65E+01
1.71E+03,6.20E+01
2.02E+03,4.91E+01
2.40E+03,3.76E+01
2.86E+03,2.81E+01
3.44E+03,2.02E+01
4.16E+03,1.42E+01
5.04E+03,9.70E+00
6.13E+03,6.45E+00
7.49E+03,4.18E+00
9.17E+03,2.65E+00
1.13E+04,1.64E+00
1.39E+04,9.95E-01
1.71E+04,5.94E-01
2.11E+04,3.50E-01
2.62E+04,2.03E-01
3.24E+04,1.16E-01
4.02E+04,6.62E-02
5.00E+04,3.73E-02
